dataset;type;algorithm;update;query;radius;ratio;memory
beers;rand;JONES;8672,82;162305202,9;2,175475783;1;10000
beers;rand;CHEN;8335,965;6362947560;2,658030465;1,225973683;10000
beers;rand;PELLCAPPDELTA05;367339,15;84456781,26;2,155214046;0,993761766;14476,145
beers;rand;PELLCAPPDELTA10;205607,095;63699067,5;2,197678081;1,013575218;9385,845
beers;rand;PELLCAPPDELTA15;148693,815;36398964,79;2,279291338;1,050991162;6334,86
beers;rand;PELLCAPPDELTA20;115016,865;17940077,67;2,199938906;1,014521613;4416,47
beers;rand;PELLCAPPDELTA25;109572,26;11374062,65;2,365684581;1,09106526;3671,59
beers;rand;PELLCAPPDELTA30;99566,55;7313529,71;2,212662696;1,019732272;2826,115
beers;rand;PELLCAPPDELTA35;99324,355;6209318,015;2,307615899;1,064068081;2351,3
beers;rand;PELLCAPPDELTA40;95679,725;4430714,775;2,282278764;1,052364338;2091,815
beers;rand;CAPPDELTA05;241294,61;84023551,9;2,155214046;0,993761766;13281,41
beers;rand;CAPPDELTA10;128091,16;63304117,07;2,197678081;1,013575218;8246,72
beers;rand;CAPPDELTA15;69950,215;36164090,97;2,279291338;1,050991162;5195,735
beers;rand;CAPPDELTA20;43547,64;17723467,17;2,199938906;1,014521613;3277,345
beers;rand;CAPPDELTA25;32730,85;11153819,63;2,365684581;1,09106526;2532,465
beers;rand;CAPPDELTA30;26508,58;7264214,675;2,212662696;1,019732272;1742,6
beers;rand;CAPPDELTA35;23696,315;6064617,88;2,307615899;1,064068081;1267,785
beers;rand;CAPPDELTA40;20473,705;4406460,23;2,282278764;1,052364338;1008,3
