DISTRIBUTIONS at time 10000:

0 : 13
1 : 46
2 : 93
3 : 54
4 : 97
5 : 104
6 : 45
7 : 64
8 : 223
9 : 39
10 : 125
11 : 145
12 : 211
13 : 105
14 : 102
15 : 312
16 : 162
17 : 165
18 : 200
19 : 355
20 : 358
21 : 624
22 : 789
23 : 1776
24 : 857
25 : 616
26 : 2320



DISTRIBUTIONS at time 20000:

0 : 34
1 : 82
2 : 164
3 : 129
4 : 178
5 : 177
6 : 76
7 : 122
8 : 402
9 : 72
10 : 279
11 : 236
12 : 382
13 : 642
14 : 176
15 : 631
16 : 323
17 : 357
18 : 386
19 : 742
20 : 651
21 : 1244
22 : 1638
23 : 3317
24 : 1616
25 : 1242
26 : 4702



DISTRIBUTIONS at time 30000:

0 : 48
1 : 122
2 : 216
3 : 203
4 : 260
5 : 302
6 : 128
7 : 189
8 : 569
9 : 151
10 : 431
11 : 728
12 : 575
13 : 797
14 : 312
15 : 867
16 : 461
17 : 591
18 : 612
19 : 1071
20 : 959
21 : 1724
22 : 2276
23 : 4783
24 : 2646
25 : 1846
26 : 7133



DISTRIBUTIONS at time 40000:

0 : 69
1 : 148
2 : 335
3 : 276
4 : 356
5 : 389
6 : 201
7 : 275
8 : 751
9 : 246
10 : 600
11 : 878
12 : 811
13 : 890
14 : 520
15 : 1128
16 : 605
17 : 827
18 : 801
19 : 1368
20 : 1293
21 : 2241
22 : 3033
23 : 6205
24 : 3645
25 : 2505
26 : 9604



DISTRIBUTIONS at time 50000:

0 : 129
1 : 187
2 : 490
3 : 344
4 : 443
5 : 456
6 : 272
7 : 344
8 : 941
9 : 332
10 : 756
11 : 943
12 : 979
13 : 961
14 : 665
15 : 1521
16 : 834
17 : 1063
18 : 1028
19 : 1754
20 : 1591
21 : 2783
22 : 3780
23 : 7580
24 : 4447
25 : 3330
26 : 12047



DISTRIBUTIONS at time 60000:

0 : 165
1 : 223
2 : 559
3 : 410
4 : 521
5 : 518
6 : 331
7 : 391
8 : 1134
9 : 406
10 : 886
11 : 1001
12 : 1143
13 : 1076
14 : 777
15 : 1883
16 : 1100
17 : 1249
18 : 1319
19 : 2130
20 : 1908
21 : 3373
22 : 4559
23 : 9014
24 : 5236
25 : 4140
26 : 14548



DISTRIBUTIONS at time 70000:

0 : 199
1 : 265
2 : 615
3 : 469
4 : 619
5 : 577
6 : 394
7 : 449
8 : 1308
9 : 470
10 : 1014
11 : 1077
12 : 1296
13 : 1697
14 : 879
15 : 2149
16 : 1262
17 : 1485
18 : 1558
19 : 2420
20 : 2235
21 : 3909
22 : 5399
23 : 10166
24 : 6022
25 : 4917
26 : 17150



DISTRIBUTIONS at time 80000:

0 : 225
1 : 307
2 : 667
3 : 550
4 : 710
5 : 683
6 : 467
7 : 525
8 : 1474
9 : 568
10 : 1182
11 : 1493
12 : 1463
13 : 1923
14 : 1050
15 : 2308
16 : 1414
17 : 1739
18 : 1795
19 : 2727
20 : 2528
21 : 4334
22 : 6101
23 : 11265
24 : 6944
25 : 5685
26 : 19873



DISTRIBUTIONS at time 90000:

0 : 248
1 : 350
2 : 710
3 : 665
4 : 812
5 : 806
6 : 562
7 : 647
8 : 1669
9 : 699
10 : 1344
11 : 1901
12 : 1646
13 : 2042
14 : 1271
15 : 2479
16 : 1546
17 : 1977
18 : 2001
19 : 2981
20 : 2871
21 : 4761
22 : 6842
23 : 12405
24 : 7950
25 : 6504
26 : 22311



DISTRIBUTIONS at time 100000:

0 : 274
1 : 390
2 : 782
3 : 787
4 : 906
5 : 928
6 : 646
7 : 745
8 : 1861
9 : 800
10 : 1482
11 : 2038
12 : 1858
13 : 2107
14 : 1541
15 : 2683
16 : 1719
17 : 2218
18 : 2233
19 : 3253
20 : 3246
21 : 5206
22 : 7632
23 : 13647
24 : 8972
25 : 7342
26 : 24704



DISTRIBUTIONS at time 200000:

0 : 764
1 : 918
2 : 1675
3 : 1515
4 : 1793
5 : 1757
6 : 1320
7 : 1659
8 : 3514
9 : 1853
10 : 3051
11 : 3394
12 : 3561
13 : 3463
14 : 3305
15 : 5014
16 : 3776
17 : 4832
18 : 4694
19 : 6228
20 : 6408
21 : 10090
22 : 15845
23 : 24097
24 : 17633
25 : 17170
26 : 50671



DISTRIBUTIONS at time 500000:

0 : 2225
1 : 2968
2 : 3869
3 : 3312
4 : 4416
5 : 4208
6 : 3554
7 : 4361
8 : 7597
9 : 5466
10 : 7450
11 : 7755
12 : 8358
13 : 9089
14 : 7990
15 : 11310
16 : 10056
17 : 11316
18 : 11531
19 : 13842
20 : 15652
21 : 22681
22 : 37993
23 : 52541
24 : 45919
25 : 54138
26 : 130403



FINAL DISTRIBUTIONS at time 1586614:

0 : 10130
1 : 10337
2 : 10611
3 : 10950
4 : 11200
5 : 11528
6 : 11572
7 : 13731
8 : 17212
9 : 18086
10 : 19983
11 : 20661
12 : 21699
13 : 23523
14 : 26728
15 : 27908
16 : 30140
17 : 30328
18 : 33861
19 : 34895
20 : 50477
21 : 63469
22 : 116461
23 : 119617
24 : 182268
25 : 231993
26 : 427246



