DISTRIBUTIONS at time 10000:

0 : 712
1 : 2530
2 : 2253
3 : 4280
4 : 225
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 20000:

0 : 1409
1 : 5158
2 : 4410
3 : 8600
4 : 423
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 30000:

0 : 2210
1 : 7721
2 : 6539
3 : 12908
4 : 622
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 40000:

0 : 2924
1 : 10365
2 : 8608
3 : 17292
4 : 811
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 50000:

0 : 3657
1 : 13006
2 : 10651
3 : 21660
4 : 1026
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 60000:

0 : 4328
1 : 15617
2 : 12675
3 : 26192
4 : 1188
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 70000:

0 : 5063
1 : 18308
2 : 14768
3 : 30499
4 : 1362
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 80000:

0 : 5691
1 : 21072
2 : 16715
3 : 34951
4 : 1571
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 90000:

0 : 6431
1 : 23847
2 : 18594
3 : 39361
4 : 1767
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 100000:

0 : 7011
1 : 26737
2 : 20496
3 : 43810
4 : 1946
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 200000:

0 : 13631
1 : 55668
2 : 40919
3 : 86150
4 : 3632
5 : 0
6 : 0
7 : 0



DISTRIBUTIONS at time 500000:

0 : 31521
1 : 159191
2 : 96336
3 : 204137
4 : 8815
5 : 0
6 : 0
7 : 0



FINAL DISTRIBUTIONS at time 4534327:

0 : 205673
1 : 1393113
2 : 1458853
3 : 1212789
4 : 263899
5 : 0
6 : 0
7 : 0



